ID,Given String,Predicted Continuation,Full Method
22,"['void', 'function']","[('(', 1.0), ('String', 0.1412), ('arg0', 0.9107784931850489), (')', 0.7086639162170739), ('{', 0.6710117196842861), ('return', 0.37874396135265703), ('arg0', 0.029643717509826296), (';', 0.28730399595346484), ('}', 0.8049015668943351), ('return', 0.2501157300249977), ('new', 0.03598971722365039), ('WsParameters', 0.00025075225677031093), ('(', 1.0), (')', 1.0), ('{', 0.4514930171549086), ('return', 0.37874396135265703), ('m_pooledObjects', 2.5358184354000253e-05), ('.', 1.0), ('size', 0.3333333333333333), ('(', 0.9523489932885906), (')', 0.9966124661246613), ('{', 0.4514930171549086), ('return', 0.37874396135265703), ('-', 0.0030429821224800305), ('1', 0.9011406844106464), (';', 0.38104448742746616), ('}', 'Bracket balancing'), ('}', 'Bracket balancing')]",void function ( String arg0 ) { return arg0 ; } return new WsParameters ( ) { return m_pooledObjects . size ( ) { return - 1 ; ) )
23,"['void', 'function']","[('(', 1.0), ('Object', 0.0149875), ('arg0', 0.8750969743987588), (')', 0.7505486466715435), ('{', 0.6710117196842861), ('List', 0.004103790029383933), ('<', 0.8926940639269406), ('Activity', 0.00029308323563892143), ('}', 'Bracket balancing')]",void function ( Object arg0 ) { List < Activity )
24,"['WildcardType', 'function']","[('(', 1.0), (')', 0.4331875), ('{', 0.4514930171549086), ('ContentValues', 3.9842621644504206e-05), ('loc0', 1.0), ('=', 1.0), ('ensureCount', 5.9591204338239674e-05), ('(', 1.0), ('arg0', 1.0), (')', 0.4486012470407789), ('{', 0.6710117196842861), ('if', 0.09662831814333384), ('(', 1.0), ('!', 0.08047407407407407), ('loc0', 0.08048937540244688), ('.', 0.8162162162162162), ('first', 0.00042633015006821284), ('=', 0.2727272727272727), ('0', 0.09375), (';', 0.6895054282267793), ('loc1', 0.2027226990233797), (')', 'Paren balancing'), ('}', 'Bracket balancing'), ('}', 'Bracket balancing')]",WildcardType function ( ) { ContentValues loc0 = ensureCount ( arg0 ) { if ( ! loc0 . first = 0 ; loc1 ) ) )
25,"['void', 'function']","[('(', 1.0), (')', 0.4331875), (';', 0.28056119955762454), ('ServletFileUpload', 1.2691482745929207e-05), ('loc2', 1.0), ('=', 1.0), ('new', 0.08935466078323222), ('ManagedObjectReference', 0.00014536996656490768), ('[', 1.0), (']', 0.6666666666666666), ('function', 0.25931278098908156)]",void function ( ) ; ServletFileUpload loc2 = new ManagedObjectReference [ ] function
26,"['SourceDataMap', 'function']",[],SourceDataMap function
27,"['long', 'function']","[('(', 1.0), ('long', 0.017775), ('arg0', 0.9175392670157068), (',', 0.16914749661705006), ('int', 0.09577594123048669), ('arg1', 0.6061050777810391), (',', 0.4297929792979298), ('arg2', 0.29236677868458955), (')', 0.5466970387243736), ('{', 0.5832716506291635), ('aliasSpecificLockModes', 2.9881966233378156e-05), ('=', 1.0), ('new', 0.5), ('com', 0.023695304550079954), ('.', 1.0), ('google', 0.04958183990442055), ('.', 1.0), ('api', 0.9518072289156626), ('.', 1.0), ('}', 'Bracket balancing')]","long function ( long arg0 , int arg1 , arg2 ) { aliasSpecificLockModes = new com . google . api . )"
28,"['String', 'function']","[('(', 1.0), ('int', 0.053075), (')', 0.06255721696673787), ('blockList', 0.0024390243902439024), ('[', 1.0)]",String function ( int ) blockList [
29,"['void', 'function']","[('(', 1.0), (')', 0.4331875), ('{', 0.4514930171549086), ('_account', 6.972458787788236e-05), ('.', 1.0), ('setUserName', 0.07142857142857142), ('(', 1.0), ('arg0', 1.0), (')', 0.4486012470407789), (';', 0.2480267878497967), ('BayesianEvent', 1.2691482745929207e-05), ('loc3', 1.0), ('=', 1.0), ('new', 0.06072874493927125), ('com', 0.023695304550079954), ('.', 1.0), ('amazon', 0.031660692951015534), ('.', 1.0), ('ec2', 0.9056603773584906), ('.', 1.0), ('ModifyImageAttributeResponseType', 0.020833333333333332), ('function', 1.0), ('(', 1.0), ('String', 0.1412), ('arg0', 0.9107784931850489), (',', 0.2893525864804824), ('arg1', 0.23269054178145088), ('[', 0.002172024326672459), ('2', 0.06639004149377593), (']', 0.9741935483870968), (';', 0.2903225806451613), ('}', 0.38261322228006245), ('if', 0.03920933246921581), ('(', 1.0), (')', 'Paren balancing'), (')', 'Paren balancing')]","void function ( ) { _account . setUserName ( arg0 ) ; BayesianEvent loc3 = new com . amazon . ec2 . ModifyImageAttributeResponseType function ( String arg0 , arg1 [ 2 ] ; } if ( ) )"
30,"['float', 'function']","[('(', 1.0), ('GenerateQRCodeResponse', 1.25e-05), ('arg0', 1.0), (')', 1.0), (';', 0.2480267878497967), ('if', 0.05358344015331311), ('(', 1.0), ('loc0', 0.14974814814814816), ('.', 0.19611451942740285), ('onDestroy', 0.00017053206002728513), ('(', 1.0), (')', 1.0), ('{', 0.4514930171549086), ('if', 0.09662831814333384), ('(', 1.0), ('LOG', 0.01771851851851852), ('.', 0.9867549668874173), (')', 'Paren balancing'), (')', 'Paren balancing'), ('}', 'Bracket balancing')]",float function ( GenerateQRCodeResponse arg0 ) ; if ( loc0 . onDestroy ( ) { if ( LOG . ) ) )
31,"['Boolean', 'function']","[('(', 1.0), ('String', 0.1412), ('[', 0.02558742369763358), (']', 0.9091760299625468), ('arg2', 0.025369299935773925), (')', 'Paren balancing')]",Boolean function ( String [ ] arg2 )
32,"['void', 'function']","[('(', 1.0), ('String', 0.1412), ('arg0', 0.9107784931850489), (')', 0.7086639162170739), ('+', 0.001494857689547955), ('2082844800L', 0.003838771593090211), (';', 1.0)]",void function ( String arg0 ) + 2082844800L ;
33,"['String', 'function']","[('(', 1.0), (')', 0.4331875), ('{', 0.4514930171549086), ('initActions', 9.960655411126052e-06), ('(', 1.0), (')', 1.0), (';', 0.28056119955762454), ('}', 0.581206452349828), ('else', 0.09878714933802425), ('{', 0.8438914027149321), ('java', 0.0015814443858724301), ('.', 1.0), ('util', 0.2944915254237288), ('.', 1.0), ('Map', 0.04212454212454213), ('<', 1.0), ('String', 0.7389255419415646), ('>', 0.5940044411547002), ('}', 'Bracket balancing')]",String function ( ) { initActions ( ) ; } else { java . util . Map < String > )
34,"['SourceProvider', 'function']",[],SourceProvider function
35,"['short', 'function']","[('(', 1.0), ('List', 0.0066375), ('<', 0.868824531516184), ('PartitionContainer', 0.00029308323563892143), ('>', 1.0), (')', 'Paren balancing')]",short function ( List < PartitionContainer > )
36,"['IntArrayList', 'function']",[],IntArrayList function
37,"['String', 'function']","[('(', 1.0), (')', 0.4331875), ('.', 0.07301766929862916), ('getScreenshotAs', 0.0001120197154699227), ('(', 1.0), (')', 'Paren balancing')]",String function ( ) . getScreenshotAs ( )
38,"['String', 'function']","[('(', 1.0), ('int', 0.053075), ('arg0', 0.6284711626487641), (')', 0.7018255578093306), ('{', 0.6710117196842861), ('}', 'Bracket balancing')]",String function ( int arg0 ) { )
39,"['String', 'function']","[('(', 1.0), (')', 0.4331875), ('{', 0.4514930171549086), ('lockChain', 9.960655411126052e-06), ('(', 1.0), (')', 'Paren balancing'), ('}', 'Bracket balancing')]",String function ( ) { lockChain ( ) )
40,"['String', 'function']","[('(', 1.0), ('Date', 0.0029125), ('arg0', 0.9549180327868853), (')', 0.9015384615384615), (';', 0.2480267878497967), ('this', 0.008680974198215577), ('.', 1.0), ('allowedOrigins', 0.00026737967914438503), ('=', 0.5)]",String function ( Date arg0 ) ; this . allowedOrigins =
41,"['boolean', 'function']","[('(', 1.0), ('InputStream', 0.003075), ('arg0', 0.9384615384615385), (')', 0.5606557377049181), ('{', 0.6710117196842861), ('return', 0.37874396135265703), ('mThrowableMessage', 2.5358184354000253e-05), (';', 1.0), ('}', 1.0), ('changeSupport', 4.629200999907416e-05), ('.', 1.0), ('firePropertyChange', 0.5714285714285714), ('(', 1.0), ('HEADER_VALUE_PROPERTY', 0.04), (',', 1.0), ('loc0', 1.0), ('.', 0.23731884057971014), ('get', 0.024471350613915414), ('(', 0.9996771068776235), ('arg0', 0.4023686607956271), (')', 0.4486012470407789), (';', 0.2480267878497967), ('return', 0.09113753759851763), ('m_size', 0.00010111223458038423), (';', 1.0), ('loc1', 0.5), ('=', 0.06480356419603078), ('Display', 0.0014404033129276198), ('.', 1.0), ('getDefault', 0.6071428571428571), ('(', 1.0), (')', 1.0), ('+', 0.01238394074226486), ('""', 0.5495841330774153), ('srini_string', 1.0), ('""', 1.0), (',', 0.17497966080480631), ('loc0', 0.14091559370529327), (')', 0.5590579710144927), (';', 0.5940660822656777), ('this', 0.008680974198215577), ('.', 1.0), ('x0', 0.00016042780748663101), ('=', 0.6666666666666666), ('arg3', 0.5), (';', 0.5294117647058824), ('loc1', 0.03488372093023256), ('.', 0.2535439449169704), ('add', 0.02841858910063524)]","boolean function ( InputStream arg0 ) { return mThrowableMessage ; } changeSupport . firePropertyChange ( HEADER_VALUE_PROPERTY , loc0 . get ( arg0 ) ; return m_size ; loc1 = Display . getDefault ( ) + "" srini_string "" , loc0 ) ; this . x0 = arg3 ; loc1 . add"
42,"['void', 'function']","[('(', 1.0), (')', 0.4331875), (';', 0.28056119955762454), ('region', 0.00032997855139415937), ('.', 1.0), ('getVertices', 0.7647058823529411), ('(', 1.0), (')', 1.0), ('{', 0.4514930171549086), ('finer', 9.960655411126052e-06), ('}', 'Bracket balancing')]",void function ( ) ; region . getVertices ( ) { finer )
43,"['String', 'function']","[('(', 1.0), (')', 0.4331875), ('{', 0.4514930171549086), ('return', 0.37874396135265703), ('killedProcess', 2.5358184354000253e-05), (';', 1.0), ('}', 1.0), ('else', 0.09878714933802425)]",String function ( ) { return killedProcess ; } else
44,"['Object', 'function']","[('(', 1.0), ('EventBus', 3.75e-05), ('arg0', 1.0), (')', 1.0), ('{', 0.6710117196842861), ('return', 0.37874396135265703), ('nativeJoin', 5.0716368708000506e-05), ('}', 'Bracket balancing')]",Object function ( EventBus arg0 ) { return nativeJoin )
45,"['void', 'function']","[('(', 1.0), ('Font', 0.0001125), ('loc0', 0.15384615384615385), (':', 0.3333333333333333), ('this', 0.046464646464646465), ('.', 0.8518518518518519), ('traverseEmptyCells', 5.3475935828877e-05), ('=', 1.0), ('arg0', 1.0), (';', 0.7737393355066935), (')', 'Paren balancing')]",void function ( Font loc0 : this . traverseEmptyCells = arg0 ; )
46,"['String', 'function']","[('(', 1.0), ('Long', 0.0028), ('.', 0.14685314685314685), ('MAX_VALUE', 0.20915032679738563), (')', 0.48717948717948717)]",String function ( Long . MAX_VALUE )
47,"['AnnotatedElementBuilder', 'function']","[('(', 1.0), ('com', 0.0080875), ('.', 1.0), ('liferay', 0.6642771804062126), ('.', 1.0), ('portal', 0.704136690647482), ('.', 1.0), ('kernel', 0.768837803320562), ('.', 1.0), ('model', 0.24881889763779527), ('.', 0.9758269720101781), ('ClusterGroup', 0.002554278416347382), ('function', 1.0), ('(', 1.0), (')', 0.4331875), (')', 'Paren balancing')]",AnnotatedElementBuilder function ( com . liferay . portal . kernel . model . ClusterGroup function ( ) )
48,"['void', 'function']","[('(', 1.0), ('double', 0.0069625), ('arg0', 0.7195845697329377), (')', 0.6616822429906543), ('{', 0.6710117196842861), ('loc0', 0.02460281886548135), ('[', 0.059691482226693494), ('loc1', 0.3737931034482759), (']', 0.9096244131455399), ('^', 0.004878048780487805), ('}', 'Bracket balancing')]",void function ( double arg0 ) { loc0 [ loc1 ] ^ )
49,"['String', 'function']","[('(', 1.0), (')', 0.4331875), ('{', 0.4514930171549086), ('return', 0.37874396135265703), ('set', 0.00025358184354000256), ('.', 0.36363636363636365), ('addValueToSet', 0.04), ('(', 1.0), ('arg0', 1.0), (')', 0.4486012470407789), ('{', 0.6710117196842861), ('LogUtils', 2.9881966233378156e-05), ('.', 1.0), ('log', 0.5), ('(', 0.9457831325301205), ('arg0', 0.11693548387096774), (')', 0.4486012470407789), ('{', 0.6710117196842861), ('return', 0.37874396135265703), ('isFluidEqual', 2.5358184354000253e-05), ('(', 1.0), ('FluidContainerRegistry', 0.5), ('.', 1.0), ('getFluidForFilledItem', 1.0), ('(', 1.0), ('arg0', 1.0), (',', 0.2759494515021173), ('arg1', 0.23269054178145088), (',', 0.3861859252823632), ('JoinType', 0.00024003840614498319), ('arg3', 0.5), (',', 1.0), ('arg4', 0.2583732057416268), (',', 0.4620938628158845), ('arg5', 0.3611940298507463), (')', 0.475177304964539), ('{', 0.5416666666666666), ('}', 0.02073808456596444), ('return', 0.1928374655647383), ('(', 0.03251171934069257), ('(', 0.12587930396149574), ('StatementPortal', 0.0017953321364452424), ('arg0', 0.6), (')', 1.0), ('{', 0.6710117196842861), ('final', 0.010229593107226456), ('byte', 0.023607176581680833), ('loc0', 0.013422818791946308), ('=', 0.7666666666666667), ('new', 0.2509981526726655), ('TreeBuilder', 0.00014536996656490768), ('(', 1.0), (')', 1.0), ('{', 0.4514930171549086), ('loc0', 0.02460281886548135), ('+', 0.0720992622401073), ('(', 0.010766307789740342), ('loc1', 0.0463768115942029), ('=', 0.05417001877178868), ('numberOfBytes', 0.00018005041411595248), (';', 1.0), ('while', 1.0), ('(', 1.0), ('loc1', 0.1574307304785894), (')', 0.4035934566908018), ('{', 0.18209666439754935), ('return', 0.37874396135265703), ('read', 0.00025358184354000256), ('(', 1.0), ('arg0', 0.27638190954773867), (',', 0.2759494515021173), ('int', 0.09577594123048669), ('[', 0.01995890813031993), (']', 0.794392523364486), ('function', 0.25931278098908156), (')', 'Paren balancing'), (')', 'Paren balancing'), (')', 'Paren balancing'), (')', 'Paren balancing'), ('}', 'Bracket balancing'), ('}', 'Bracket balancing'), ('}', 'Bracket balancing'), ('}', 'Bracket balancing'), ('}', 'Bracket balancing'), ('}', 'Bracket balancing')]","String function ( ) { return set . addValueToSet ( arg0 ) { LogUtils . log ( arg0 ) { return isFluidEqual ( FluidContainerRegistry . getFluidForFilledItem ( arg0 , arg1 , JoinType arg3 , arg4 , arg5 ) { } return ( ( StatementPortal arg0 ) { final byte loc0 = new TreeBuilder ( ) { loc0 + ( loc1 = numberOfBytes ; while ( loc1 ) { return read ( arg0 , int [ ] function ) ) ) ) ) ) ) ) ) )"
50,"['void', 'function']","[('(', 1.0), (')', 0.4331875), ('{', 0.4514930171549086), ('return', 0.37874396135265703), ('TaskType', 5.0716368708000506e-05), ('.', 1.0), ('valueOf', 0.3333333333333333), ('(', 1.0), (')', 'Paren balancing'), ('}', 'Bracket balancing')]",void function ( ) { return TaskType . valueOf ( ) )
51,"['void', 'function']","[('(', 1.0), (')', 0.4331875)]",void function ( )
52,"['boolean', 'function']","[('(', 1.0), (')', 0.4331875), ('.', 0.07301766929862916), ('getExternalContext', 0.007505320936484821), ('(', 1.0), (')', 1.0), ('{', 0.4514930171549086), ('readBytes', 9.960655411126052e-06), ('(', 1.0), ('loc0', 0.25), (',', 0.13936605316973416), ('arg1', 0.11011116993118052), (')', 0.545902114103678), (';', 0.3243733620052416), ('}', 0.581206452349828), ('final', 0.003934820849921304), ('String', 0.12790697674418605), ('arg1', 0.17155110793423875), (',', 0.3895231699126931), ('Map', 0.004680748919827172), ('<', 0.8224852071005917), ('String', 0.7389255419415646), ('>', 0.5940044411547002), ('(', 0.17420596727622714), (')', 0.5903614457831325), ('{', 0.4514930171549086), ('digest', 5.976393246675631e-05), ('.', 0.8333333333333334), ('update', 0.35714285714285715), ('(', 0.9583333333333334), ('arg1', 0.09345794392523364), (',', 0.24805566925910766), ('arg2', 0.29236677868458955), (')', 0.5466970387243736), ('}', 'Bracket balancing')]","boolean function ( ) . getExternalContext ( ) { readBytes ( loc0 , arg1 ) ; } final String arg1 , Map < String > ( ) { digest . update ( arg1 , arg2 ) )"
53,"['List', '<']","[('Vector3', 0.0005861664712778429), ('>', 1.0), ('function', 0.25), ('(', 1.0), (')', 0.4331875), ('{', 0.4514930171549086), ('return', 0.37874396135265703), ('this', 0.07082540890072271), ('.', 0.5570848773601553), ('visible', 0.00026737967914438503), ('.', 0.16666666666666666), ('addAll', 0.5), ('(', 1.0), ('arg0', 0.34782608695652173), ('.', 0.11803541062318695), ('setCancelled', 7.731560228854182e-05), ('(', 1.0), ('false', 0.6666666666666666), (')', 0.8599221789883269), (';', 0.8395061728395061), ('logger', 0.0006345741372964604), ('.', 1.0), ('debug', 0.44145873320537427), ('(', 0.9874213836477987), ('""', 0.9140461215932913), ('srini_string', 1.0), ('""', 1.0), (')', 0.4776894674259966), ('+', 0.006157474125507664), ('""', 0.5495841330774153), ('srini_string', 1.0), ('""', 1.0), (')', 0.4776894674259966), (';', 0.7920869906982838), ('rowIn', 3.807444823778762e-05), ('=', 1.0), ('new', 1.0), ('NioWorkerPool', 0.00029073993312981537), ('(', 1.0), ('Executors', 1.0), ('.', 1.0), ('newCachedThreadPool', 0.4444444444444444), ('(', 1.0), (')', 0.75), ('{', 0.4514930171549086), ('this', 0.10428806215448977), ('.', 1.0), ('sbbClasses', 5.3475935828877e-05), ('=', 1.0), ('arg0', 1.0), ('.', 0.16889782895193176), ('writeLong', 0.0007731560228854183), ('(', 1.0), ('myTimestamp', 0.08333333333333333), (')', 1.0), (';', 1.0), ('}', 0.581206452349828), ('else', 0.09878714933802425), ('if', 0.1330316742081448), (')', 'Paren balancing'), ('}', 'Bracket balancing')]","List < Vector3 > function ( ) { return this . visible . addAll ( arg0 . setCancelled ( false ) ; logger . debug ( "" srini_string "" ) + "" srini_string "" ) ; rowIn = new NioWorkerPool ( Executors . newCachedThreadPool ( ) { this . sbbClasses = arg0 . writeLong ( myTimestamp ) ; } else if ) )"
